mesq_pres,b5_clayCont_100,b1_carbonCont_0,b2_carbonCont_10,b3_carbonCont_30,b4_carbonCont_60,b5_carbonCont_100,b6_carbonCont_200,ann_mean_temp,ann_precip,dist_road
0,23,1,1,1,1,0,0,163,411,86.98673132
0,25,1,1,1,1,0,0,163,411,76.83702397
0,26,1,1,1,0,0,0,162,411,37.47918047
1,26,1,1,1,1,0,0,162,411,107.6512101
0,25,1,1,1,1,0,0,163,411,146.759432
0,25,1,1,1,1,0,0,162,411,273.7576524
0,28,1,1,1,1,0,0,163,405,135.6220657
0,30,2,2,1,0,0,0,163,407,45.84961917
0,27,2,2,1,1,0,0,162,411,340.8227093
0,27,2,1,1,1,0,0,162,411,54.7414231
0,27,1,1,1,1,0,0,163,410,460.9502897
0,27,1,1,1,1,0,0,163,410,705.4699396
0,25,2,1,1,1,0,0,163,410,411.6962327
0,25,2,1,1,1,0,0,163,410,323.6945358
0,23,1,1,1,1,0,0,163,411,400.4821743
0,29,1,1,1,1,0,0,163,411,625.12692
0,24,2,1,1,1,0,0,163,411,174.9344424
0,26,2,1,1,1,1,0,163,411,110.8353823
0,25,1,1,1,1,0,0,163,406,14.26601995
0,25,2,1,1,1,0,0,163,411,370.4294081
0,28,2,2,1,0,0,0,141,426,656.3318238
0,25,1,1,1,0,0,0,141,427,523.8295656
0,29,2,1,1,1,0,0,141,427,2.669871345
0,31,2,2,1,1,0,0,141,428,99.54386501
0,30,2,2,1,1,1,0,141,428,391.9291383
0,27,2,1,1,1,0,0,141,428,208.5016656
1,27,2,1,1,1,0,0,141,428,97.8504821
1,27,2,1,1,1,0,0,141,428,115.1973626
0,28,1,1,1,0,0,0,141,430,6.99668733
0,29,2,2,1,0,0,0,141,433,73.80974967
0,30,2,2,1,1,0,0,141,427,224.7320228
0,31,2,2,1,0,0,0,141,427,453.4293784
0,30,2,1,1,0,0,0,141,428,67.32443449
0,31,2,2,1,1,0,0,141,428,225.0204437
0,28,2,1,1,1,0,0,141,428,454.3486448
0,29,2,2,1,1,0,0,141,428,343.9375486
0,32,2,2,1,1,0,0,141,433,404.087031
0,30,1,1,1,1,0,0,141,426,699.9181788
1,28,1,1,1,1,0,0,141,427,67.09794219
0,32,2,2,1,1,0,0,141,428,40.06595317
0,33,2,2,1,1,0,0,141,428,608.5132866
0,29,2,1,1,1,0,0,141,428,749.6726886
0,23,2,1,1,1,0,0,141,429,41.72801003
0,29,2,2,1,1,0,0,141,431,20.79763458
0,27,2,1,1,1,0,0,141,428,1594.761729
0,32,2,1,1,1,0,0,141,428,1557.92377
0,28,2,1,1,1,0,0,141,428,1639.50908
